name,floor,buildingID,latitude,longitude
Food court,1,36,49.809448,-97.134422
Degrees Restraunt,3,36,49.80962,-97.134064
Starbucks,1,13,49.810261,-97.13166
Robin's Donuts,1,38,49.809231,-97.131058
St. Andrew's Cafeteria,,33,49.810993,-97.140869
Daily Bread Cafe,Downstairs,34,49.810524,-97.136856
Belltower Cafe,Lower level,35,49.810261,-97.137787
Tim Hortons (UC),1,36,49.809505,-97.134352
Tim Hortons (EITC),First floor (E2),2,49.808586,-97.134097
Tim Hortons (Frank Kennedy),1,19,49.806687,-97.138284
Greenhouse Cafe,Tunnel,39,49.810017,-97.130875
Fresh food Company,,25,49.807388,-97.131325
Young Associates Cafe,,53,49.808109,-97.130127
Hard Chalk Cafe,Upper level,43,49.808758,-97.13662
Day Side Cafe,1,5,49.811497,-97.129845
The Pit Stop,2,32,49.810993,-97.13382
Edna's Cafe,1,70,49.802006,-97.149338
Chocolate Shop,,20,49.805166,-97.139118
IQ's,3,36,49.809586,-97.134033
Global Bubble Tea,Third floor (inside IQ's),36,49.809586,-97.134033
